create	pro_main	pro_occ	use	interested	total
Games	24.216524216524217	11.396011396011396	33.04843304843305	7.4074074074074066	76.06837606837607
Web sites (front end)	15.954415954415953	6.837606837606838	12.535612535612536	4.273504273504273	39.6011396011396
Web sites (back end)	11.965811965811966	5.413105413105413	9.401709401709402	3.418803418803419	30.1994301994302
Desktop applications	13.105413105413104	9.116809116809117	17.94871794871795	5.698005698005698	45.86894586894587
Mobile applications	19.08831908831909	8.831908831908832	19.65811965811966	7.6923076923076925	55.27065527065527
Software libraries / frameworks	15.669515669515668	6.837606837606838	14.529914529914532	1.4245014245014245	38.46153846153847
Hardware stuffs	1.4245014245014245	1.1396011396011396	1.9943019943019942	0.5698005698005698	5.128205128205128
Art	2.849002849002849	2.564102564102564	4.273504273504273	0.8547008547008548	10.541310541310542
I'm not sure yet.	0.2849002849002849	0.0	1.4245014245014245	0.5698005698005698	2.2792022792022792
Others	2.564102564102564	0.5698005698005698	1.1396011396011396	0.5698005698005698	4.843304843304843
