os_linux	pro_main	pro_occ	use	interested	total
"I do not use Linux / BSD for Haxe
development."	16.23931623931624	6.837606837606838	19.08831908831909	3.7037037037037033	45.86894586894587
Ubuntu	14.814814814814813	6.837606837606838	14.529914529914532	5.982905982905983	42.16524216524217
Debian	3.9886039886039883	2.2792022792022792	5.413105413105413	0.8547008547008548	12.535612535612536
Fedora	1.1396011396011396	0.8547008547008548	1.7094017094017095	0.0	3.7037037037037033
openSUSE	0.5698005698005698	0.2849002849002849	1.9943019943019942	0.8547008547008548	3.7037037037037033
Gentoo	0.0	0.0	1.1396011396011396	0.0	1.1396011396011396
Mandriva	0.0	0.0	0.0	0.0	0.0
Red Hat	0.8547008547008548	0.0	0.0	0.0	0.8547008547008548
Oracle	0.0	0.0	0.0	0.0	0.0
Solaris	0.2849002849002849	0.0	0.0	0.0	0.2849002849002849
Turbolinux	0.0	0.0	0.0	0.0	0.0
Arch Linux	2.2792022792022792	1.4245014245014245	4.273504273504273	1.1396011396011396	9.116809116809117
FreeBSD	0.2849002849002849	0.0	0.5698005698005698	0.5698005698005698	1.4245014245014245
OpenBSD	0.0	0.0	0.0	0.2849002849002849	0.2849002849002849
NetBSD	0.0	0.0	0.0	0.0	0.0
Mint mate version	1.1396011396011396	1.1396011396011396	1.9943019943019942	0.5698005698005698	4.843304843304843
elementary OS	0.2849002849002849	0.0	0.5698005698005698	0.0	0.8547008547008548
Others	1.1396011396011396	0.0	1.4245014245014245	0.2849002849002849	2.849002849002849
